timecode	yday	degC	Pa	pressAltComp
1530674414	184	22.3	100669	54.089223393356356
1530674914	184	22.3	100677	54.089223393356356
1530675414	184	22.3	100680	54.172911985854036
1530675914	184	22.3	100666	54.5913650448463
1530676414	184	22.2	100668	54.34029119011573
1530676914	184	22.3	100674	54.42398180190433
1530677414	184	22.2	100677	54.42398180190433
1530677914	184	22.2	100680	53.336056347617806
1530678414	184	22.2	100691	53.252374485286
1530678914	184	22.1	100678	53.58710597243222
1530679414	184	22.1	100683	53.16869329590188
1530679914	184	22.1	100690	52.3319184117078
1530680414	184	22.1	100698	52.16457150906297
1530680914	184	22.2	100686	52.49926800562167
1530681414	184	22.1	100680	54.00553547392939
1530681914	184	22.1	100671	54.34029119011573
1530682414	184	22.2	100686	54.00553547392939
1530682914	184	22.1	100680	53.336056347617806
1530683414	184	22.1	100677	54.00553547392939
1530683914	184	22.1	100671	54.92613960856327
1530684414	184	22.1	100672	54.34029119011573
1530684914	184	22.1	100665	54.5913650448463
1530685414	184	22.0	100677	54.50767308680796
1530685914	184	22.0	100672	54.5913650448463
1530686414	184	22.1	100662	54.5913650448463
1530686914	184	22.0	100664	54.92613960856327
1530687414	184	22.2	100665	54.34029119011573
1530687914	184	22.1	100667	55.42832165014365
1530688414	184	22.1	100661	55.260924943350965
1530688914	184	22.1	100657	55.51202101342661
1530689414	184	22.1	100655	55.51202101342661
1530689914	184	22.1	100658	56.09793540887437
1530690414	184	22.1	100655	56.09793540887437
1530690914	184	22.0	100660	55.67942175984452
1530691414	184	22.0	100658	55.93052792925886
1530691914	184	22.0	100640	56.93501321057189
1530692414	184	22.0	100625	58.19075619495554
1530692914	184	22.0	100609	59.53038244811204
1530693414	184	22.0	100599	60.870181209037675
1530693914	184	22.0	100589	61.3726502291789
1530694414	184	22.0	100595	60.53521534348449
1530694914	184	21.9	100597	61.3726502291789
1530695414	184	21.9	100572	62.37766107759938
1530695914	184	21.8	100567	61.7076430582826
1530696414	184	21.8	100586	61.7076430582826
1530696914	184	21.8	100559	63.29900631672834
1530697414	184	21.7	100577	62.880202911125075
1530697914	184	21.8	100582	62.9639622435096
1530698414	184	21.7	100579	62.71268626937261
1530698914	184	21.7	100568	63.382769021012244
1530699414	184	21.7	100565	63.215244286848915
1530699914	184	21.6	100562	63.55029645284765
1530700414	184	21.6	100556	62.9639622435096
1530700914	184	21.6	100562	63.215244286848915
1530701414	184	21.6	100559	63.96912683534885
1530701914	184	21.6	100561	63.131482931359216
1530702414	184	21.5	100555	63.63406118041883
1530702914	184	21.5	100553	64.55551770024964
1530703414	184	21.5	100566	63.88535940989396
1530703914	184	21.4	100550	64.80683818947269
1530704414	184	21.4	100546	65.30949738306569
1530704914	184	21.4	100543	65.39327627669431
1530705414	184	21.3	100540	64.80683818947269
1530705914	184	21.3	100530	65.81218086569335
1530706414	184	21.3	100542	64.55551770024964
1530706914	184	21.3	100533	65.89596380775197
1530707414	184	21.2	100542	65.05816475030473
